domain,pipeline_status,shopify_score,india_score,category,tagline_or_description,state,logo_url,emails,phones,socials,shopify_evidence,india_evidence,auto_shopify_check,auto_india_check,auto_logo_check,auto_state_check,auto_contacts_check,auto_socials_check,auto_audit_confidence,auto_audit_notes,manual_shopify_correct,manual_india_correct,manual_logo_correct,manual_state_correct,manual_contacts_correct,manual_notes,selection_reason
https://reformyourcloset.myshopify.com,ACCEPTED,12,12,Women's Apparel,"Born in 2022, Reform Your Closet started as a passion project rooted in India. What began as a vision has blossomed into a thriving community of conscious fashion lovers who champion quality, sustainability, and authentic style. Our Instagram family isn't just a following, it's a movement of individuals who believe in mindful consumption and supporting homegrown excellence. Every piece we source, every connection we nurture, reflects the trust and love our community has shown us since day one.",Telangana,https://reformyourcloset.myshopify.com/cdn/shop/files/55538D77-B044-43A0-B8C7-55DB70C5146B.png?v=1777143444&width=500,"[""reformyourcloset1@gmail.com""]",[],"{""instagram"": ""https://instagram.com/reform_your_closet"", ""facebook"": null, ""twitter"": null, ""linkedin"": null, ""youtube"": null}","[{""signal"": ""shopify_theme"", ""weight"": 3, ""source_url"": ""https://reformyourcloset.myshopify.com/"", ""value"": ""Shopify.theme""}, {""signal"": ""shopify_cdn"", ""weight"": 3, ""source_url"": ""https://reformyourcloset.myshopify.com/"", ""value"": ""cdn.shopify.com""}, {""signal"": ""shopify_analytics"", ""weight"": 2, ""source_url"": ""https://reformyourcloset.myshopify.com/"", ""value"": ""ShopifyAnalytics""}, {""signal"": ""myshopify_reference"", ""weight"": 2, ""source_url"": ""https://reformyourcloset.myshopify.com/"", ""value"": ""reformyourcloset.myshopify.com""}, {""signal"": ""shopify_section"", ""weight"": 1, ""source_url"": ""https://reformyourcloset.myshopify.com/"", ""value"": ""shopify-section""}, {""signal"": ""powered_by_shopify"", ""weight"": 1, ""source_url"": ""https://reformyourcloset.myshopify.com/"", ""value"": ""Powered by Shopify""}]","[{""signal"": ""inr_pricing"", ""weight"": 1, ""source_url"": ""https://reformyourcloset.myshopify.com/"", ""value"": ""Rs. 0""}, {""signal"": ""india_shipping"", ""weight"": 1, ""source_url"": ""https://reformyourcloset.myshopify.com/"", ""value"": ""shipping all over India""}, {""signal"": ""explicit_india_address"", ""weight"": 3, ""source_url"": ""https://reformyourcloset.myshopify.com/policies/privacy-policy"", ""value"": ""India""}, {""signal"": ""india_pincode"", ""weight"": 2, ""source_url"": ""https://reformyourcloset.myshopify.com/policies/privacy-policy"", ""value"": ""500082""}, {""signal"": ""india_state_or_city"", ""weight"": 1, ""source_url"": ""https://reformyourcloset.myshopify.com/policies/privacy-policy"", ""value"": ""Hyderabad""}, {""signal"": ""clear_indian_physical_address"", ""weight"": 4, ""source_url"": ""https://reformyourcloset.myshopify.com/policies/privacy-policy"", ""value"": ""Hyderabad 500082""}]",UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN,LOW,shopify: homepage unavailable: cache miss in cache-only mode | india: India evidence unavailable: cache miss in cache-only mode | logo: stored logo could not be rechecked because the homepage is unavailable | state: business state could not be rechecked because the homepage is unavailable | contacts: stored contacts could not be rechecked because the homepage is unavailable | socials: stored social profiles could not be rechecked because the homepage is unavailable,,,,,,,all_low_confidence
https://staypure.net,ACCEPTED,12,6,Electronics,"Contact Information Address Plot No: 62, SIDCO Industrial Estate, Karuppur, Salem, Tamilnadu, India -636011. Phone: +91 7200529280 Mail: staypurelife@gmail.com Contact Form Contact Form Demo First Name Last Name Email Subject Your Message Submit Form",,,"[""staypurelife@gmail.com""]","[""+917200529280""]","{""instagram"": ""https://instagram.com/staypureoffi"", ""facebook"": null, ""twitter"": null, ""linkedin"": null, ""youtube"": null}","[{""signal"": ""shopify_theme"", ""weight"": 3, ""source_url"": ""https://staypure.net/"", ""value"": ""Shopify.theme""}, {""signal"": ""shopify_cdn"", ""weight"": 3, ""source_url"": ""https://staypure.net/"", ""value"": ""cdn.shopify.com""}, {""signal"": ""shopify_analytics"", ""weight"": 2, ""source_url"": ""https://staypure.net/"", ""value"": ""ShopifyAnalytics""}, {""signal"": ""myshopify_reference"", ""weight"": 2, ""source_url"": ""https://staypure.net/"", ""value"": ""q8wmmx-au.myshopify.com""}, {""signal"": ""shopify_section"", ""weight"": 1, ""source_url"": ""https://staypure.net/"", ""value"": ""shopify-section""}, {""signal"": ""powered_by_shopify"", ""weight"": 1, ""source_url"": ""https://staypure.net/"", ""value"": ""Powered by Shopify""}]","[{""signal"": ""india_phone"", ""weight"": 2, ""source_url"": ""https://staypure.net/"", ""value"": ""+91 7200529280""}, {""signal"": ""inr_pricing"", ""weight"": 1, ""source_url"": ""https://staypure.net/"", ""value"": ""Rs. 3""}, {""signal"": ""explicit_india_address"", ""weight"": 3, ""source_url"": ""https://staypure.net/pages/contact-us"", ""value"": ""India""}]",UNCERTAIN,UNCERTAIN,MISSING,UNCERTAIN,UNCERTAIN,UNCERTAIN,LOW,shopify: homepage unavailable: cache miss in cache-only mode | india: India evidence unavailable: cache miss in cache-only mode | logo: no stored logo URL | state: business state could not be rechecked because the homepage is unavailable | contacts: stored contacts could not be rechecked because the homepage is unavailable | socials: stored social profiles could not be rechecked because the homepage is unavailable,,,,,,,all_low_confidence
https://thesimmaya.com,ACCEPTED,11,17,Women's Apparel,"Shop designer sarees and women’s occasion wear online, or visit Simmaya at Elgin Road, Kolkata. Explore wedding, festive and pre-draped styles.",West Bengal,https://www.thesimmaya.com/cdn/shop/files/logo_3x_771a336e-20de-41d4-bd15-f662ece9b3a3.png?v=1787212237&width=500,"[""info@thesimmaya.com"", ""online@simaaya.in""]","[""+919831036916""]","{""instagram"": ""https://instagram.com/simmaya.me"", ""facebook"": ""https://facebook.com/simaaya"", ""twitter"": null, ""linkedin"": null, ""youtube"": ""https://youtube.com/@simaaya3421""}","[{""signal"": ""shopify_theme"", ""weight"": 3, ""source_url"": ""https://www.thesimmaya.com/"", ""value"": ""Shopify.theme""}, {""signal"": ""shopify_cdn"", ""weight"": 3, ""source_url"": ""https://www.thesimmaya.com/"", ""value"": ""cdn.shopify.com""}, {""signal"": ""shopify_analytics"", ""weight"": 2, ""source_url"": ""https://www.thesimmaya.com/"", ""value"": ""ShopifyAnalytics""}, {""signal"": ""myshopify_reference"", ""weight"": 2, ""source_url"": ""https://www.thesimmaya.com/"", ""value"": ""simaaya-fashions.myshopify.com""}, {""signal"": ""shopify_section"", ""weight"": 1, ""source_url"": ""https://www.thesimmaya.com/"", ""value"": ""shopify-section""}]","[{""signal"": ""india_phone"", ""weight"": 2, ""source_url"": ""https://www.thesimmaya.com/"", ""value"": ""+91 98310 36916""}, {""signal"": ""explicit_india_address"", ""weight"": 3, ""source_url"": ""https://www.thesimmaya.com/"", ""value"": ""India""}, {""signal"": ""india_pincode"", ""weight"": 2, ""source_url"": ""https://www.thesimmaya.com/"", ""value"": ""700020""}, {""signal"": ""india_state_or_city"", ""weight"": 1, ""source_url"": ""https://www.thesimmaya.com/"", ""value"": ""Kolkata""}, {""signal"": ""inr_pricing"", ""weight"": 1, ""source_url"": ""https://www.thesimmaya.com/"", ""value"": ""Rs. 7""}, {""signal"": ""india_shipping"", ""weight"": 1, ""source_url"": ""https://www.thesimmaya.com/"", ""value"": ""Shipping in India""}, {""signal"": ""clear_indian_physical_address"", ""weight"": 4, ""source_url"": ""https://www.thesimmaya.com/"", ""value"": ""Kolkata 700020""}, {""signal"": ""gstin"", ""weight"": 3, ""source_url"": ""https://www.thesimmaya.com/policies/contact-information"", ""value"": ""19AAICS6064P1ZI""}]",UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN,LOW,shopify: homepage unavailable: cache miss in cache-only mode | india: India evidence unavailable: cache miss in cache-only mode | logo: stored logo could not be rechecked because the homepage is unavailable | state: business state could not be rechecked because the homepage is unavailable | contacts: stored contacts could not be rechecked because the homepage is unavailable | socials: stored social profiles could not be rechecked because the homepage is unavailable,,,,,,,all_low_confidence
https://trendytrays.com,ACCEPTED,11,8,Furniture,Find your Home improvement Needs here . Premium Wood Art works,,https://trendytrays.com/cdn/shop/files/Untitled_design_5_c48ec9e0-aeb0-4086-baad-b828ab24ed10.png?v=1751201286&width=500,"[""infrotrendytrays@gmail.com""]","[""+916377030560"", ""+917014672545""]","{""instagram"": ""https://instagram.com/trendytrays"", ""facebook"": null, ""twitter"": null, ""linkedin"": null, ""youtube"": null}","[{""signal"": ""shopify_theme"", ""weight"": 3, ""source_url"": ""https://trendytrays.com"", ""value"": ""Shopify.theme""}, {""signal"": ""shopify_cdn"", ""weight"": 3, ""source_url"": ""https://trendytrays.com"", ""value"": ""cdn.shopify.com""}, {""signal"": ""shopify_analytics"", ""weight"": 2, ""source_url"": ""https://trendytrays.com"", ""value"": ""ShopifyAnalytics""}, {""signal"": ""myshopify_reference"", ""weight"": 2, ""source_url"": ""https://trendytrays.com"", ""value"": ""8575aa.myshopify.com""}, {""signal"": ""shopify_section"", ""weight"": 1, ""source_url"": ""https://trendytrays.com"", ""value"": ""shopify-section""}]","[{""signal"": ""india_phone"", ""weight"": 2, ""source_url"": ""https://trendytrays.com"", ""value"": ""+91- 70146 72545""}, {""signal"": ""explicit_india_address"", ""weight"": 3, ""source_url"": ""https://trendytrays.com"", ""value"": ""Bharat""}, {""signal"": ""india_state_or_city"", ""weight"": 1, ""source_url"": ""https://trendytrays.com"", ""value"": ""Jaipur""}, {""signal"": ""inr_pricing"", ""weight"": 1, ""source_url"": ""https://trendytrays.com"", ""value"": ""Rs. 1""}, {""signal"": ""india_shipping"", ""weight"": 1, ""source_url"": ""https://trendytrays.com"", ""value"": ""shipping Country India""}]",PASS,PASS,FAIL,MISSING,PASS,PASS,LOW,"shopify: current score 11, signals myshopify_reference,shopify_analytics,shopify_cdn,shopify_section,shopify_theme; stored myshopify_reference,shopify_analytics,shopify_cdn,shopify_section,shopify_theme | india: current score 8; strong evidence explicit_india_address,india_phone; all signals explicit_india_address,india_phone,india_shipping,india_state_or_city,inr_pricing | logo: stored logo has tiny declared dimensions 30x30 | state: no stored state and no current contextual business state | contacts: confirmed 1 email(s) and 2 phone(s) on merchant pages | socials: confirmed 1 merchant-page social profile link(s)",,,,,,,all_low_confidence
https://atina.co.in,ACCEPTED,12,4,Other,"If you have any enquiries or custom requests, please fill in the form below and we will get back to you within 2-3 business days.",,https://atina.co.in/cdn/shop/files/IMG_9114_f8c0763f-6100-4204-9706-6d19f570426f.png?v=1784874926&width=500,"[""info@atina.co.in"", ""support@atina.co.in""]",[],"{""instagram"": ""https://instagram.com/atina.studio24"", ""facebook"": null, ""twitter"": null, ""linkedin"": null, ""youtube"": ""https://youtube.com/@AtinaStudio""}","[{""signal"": ""shopify_theme"", ""weight"": 3, ""source_url"": ""https://atina.co.in"", ""value"": ""Shopify.theme""}, {""signal"": ""shopify_cdn"", ""weight"": 3, ""source_url"": ""https://atina.co.in"", ""value"": ""cdn.shopify.com""}, {""signal"": ""shopify_analytics"", ""weight"": 2, ""source_url"": ""https://atina.co.in"", ""value"": ""ShopifyAnalytics""}, {""signal"": ""myshopify_reference"", ""weight"": 2, ""source_url"": ""https://atina.co.in"", ""value"": ""9b5a73-e6.myshopify.com""}, {""signal"": ""shopify_section"", ""weight"": 1, ""source_url"": ""https://atina.co.in"", ""value"": ""shopify-section""}, {""signal"": ""powered_by_shopify"", ""weight"": 1, ""source_url"": ""https://atina.co.in"", ""value"": ""Powered by Shopify""}]","[{""signal"": ""india_state_or_city"", ""weight"": 1, ""source_url"": ""https://atina.co.in"", ""value"": ""Chennai""}, {""signal"": ""inr_pricing"", ""weight"": 1, ""source_url"": ""https://atina.co.in"", ""value"": ""₹1""}, {""signal"": ""dot_in_domain"", ""weight"": 1, ""source_url"": ""https://atina.co.in"", ""value"": ""atina.co.in""}, {""signal"": ""india_shipping"", ""weight"": 1, ""source_url"": ""https://atina.co.in/pages/shipping-policy"", ""value"": ""Shipping Locations We currently ship across India""}]",PASS,UNCERTAIN,PASS,MISSING,PASS,PASS,MEDIUM,"shopify: current score 12, signals myshopify_reference,powered_by_shopify,shopify_analytics,shopify_cdn,shopify_section,shopify_theme; stored myshopify_reference,powered_by_shopify,shopify_analytics,shopify_cdn,shopify_section,shopify_theme | india: only weak/insufficient current India evidence; current score 4; strong evidence none; all signals dot_in_domain,india_shipping,india_state_or_city,inr_pricing | logo: stored logo matches the current semantic logo candidate | state: no stored state and no current contextual business state | contacts: confirmed 2 email(s) and 0 phone(s) on merchant pages | socials: confirmed 2 merchant-page social profile link(s)",,,,,,,all_medium_confidence
https://cattyindia.com,ACCEPTED,12,12,Accessories,Catty.in is a new age fashion brand . With trending styles for everyone.,Rajasthan,https://cattyindia.com/cdn/shop/files/photo-output_1f417d8d-4e5f-4d80-b4c1-187de0a39187.jpg?v=1779561174&width=500,[],[],"{""instagram"": ""https://instagram.com/catty.in"", ""facebook"": null, ""twitter"": null, ""linkedin"": null, ""youtube"": ""https://youtube.com/@catty_india""}","[{""signal"": ""shopify_theme"", ""weight"": 3, ""source_url"": ""https://cattyindia.com"", ""value"": ""Shopify.theme""}, {""signal"": ""shopify_cdn"", ""weight"": 3, ""source_url"": ""https://cattyindia.com"", ""value"": ""cdn.shopify.com""}, {""signal"": ""shopify_analytics"", ""weight"": 2, ""source_url"": ""https://cattyindia.com"", ""value"": ""ShopifyAnalytics""}, {""signal"": ""myshopify_reference"", ""weight"": 2, ""source_url"": ""https://cattyindia.com"", ""value"": ""hhcf7p-9j.myshopify.com""}, {""signal"": ""shopify_section"", ""weight"": 1, ""source_url"": ""https://cattyindia.com"", ""value"": ""shopify-section""}, {""signal"": ""powered_by_shopify"", ""weight"": 1, ""source_url"": ""https://cattyindia.com"", ""value"": ""Powered by Shopify""}]","[{""signal"": ""explicit_india_address"", ""weight"": 3, ""source_url"": ""https://cattyindia.com"", ""value"": ""INDIA""}, {""signal"": ""inr_pricing"", ""weight"": 1, ""source_url"": ""https://cattyindia.com"", ""value"": ""Rs. 7""}, {""signal"": ""india_pincode"", ""weight"": 2, ""source_url"": ""https://cattyindia.com/policies/contact-information"", ""value"": ""302039""}, {""signal"": ""india_state_or_city"", ""weight"": 1, ""source_url"": ""https://cattyindia.com/policies/contact-information"", ""value"": ""Jaipur""}, {""signal"": ""clear_indian_physical_address"", ""weight"": 4, ""source_url"": ""https://cattyindia.com/policies/contact-information"", ""value"": ""Jaipur 302039""}, {""signal"": ""india_shipping"", ""weight"": 1, ""source_url"": ""https://cattyindia.com/policies/shipping-policy"", ""value"": ""Shipping policy – CATTY INDIA""}]",PASS,PASS,PASS,PASS,UNCERTAIN,PASS,MEDIUM,"shopify: current score 12, signals myshopify_reference,powered_by_shopify,shopify_analytics,shopify_cdn,shopify_section,shopify_theme; stored myshopify_reference,powered_by_shopify,shopify_analytics,shopify_cdn,shopify_section,shopify_theme | india: current score 12; strong evidence clear_indian_physical_address,explicit_india_address,india_pincode,contextual_business_state:Rajasthan; all signals clear_indian_physical_address,explicit_india_address,india_pincode,india_shipping,india_state_or_city,inr_pricing | logo: stored logo matches the current semantic logo candidate | state: stored state matches current contextual business-location evidence: Rajasthan | contacts: no stored contacts to confirm | socials: confirmed 2 merchant-page social profile link(s)",,,,,,,all_medium_confidence;unusual_contact_or_social
https://garudarabbit.com,ACCEPTED,12,9,Beauty & Skincare,"Welcome to Garudarabbit Hair Oil (Garudarabbit.com), where tradition meets innovation to nurture your hair naturally. At Garudarabbit.com, we believe in the power of nature and the wisdom of ancient traditions. Inspired by the age-old beauty rituals of the Tribal communities, we have crafted a unique blend of natural i",Tamil Nadu,,[],[],"{""instagram"": null, ""facebook"": null, ""twitter"": null, ""linkedin"": null, ""youtube"": null}","[{""signal"": ""shopify_theme"", ""weight"": 3, ""source_url"": ""https://garudarabbit.com"", ""value"": ""Shopify.theme""}, {""signal"": ""shopify_cdn"", ""weight"": 3, ""source_url"": ""https://garudarabbit.com"", ""value"": ""cdn.shopify.com""}, {""signal"": ""shopify_analytics"", ""weight"": 2, ""source_url"": ""https://garudarabbit.com"", ""value"": ""ShopifyAnalytics""}, {""signal"": ""myshopify_reference"", ""weight"": 2, ""source_url"": ""https://garudarabbit.com"", ""value"": ""tbvfkp-zi.myshopify.com""}, {""signal"": ""shopify_section"", ""weight"": 1, ""source_url"": ""https://garudarabbit.com"", ""value"": ""shopify-section""}, {""signal"": ""powered_by_shopify"", ""weight"": 1, ""source_url"": ""https://garudarabbit.com"", ""value"": ""Powered by Shopify""}]","[{""signal"": ""india_pincode"", ""weight"": 2, ""source_url"": ""https://garudarabbit.com"", ""value"": ""638311""}, {""signal"": ""india_state_or_city"", ""weight"": 1, ""source_url"": ""https://garudarabbit.com"", ""value"": ""Tamil Nadu""}, {""signal"": ""inr_pricing"", ""weight"": 1, ""source_url"": ""https://garudarabbit.com"", ""value"": ""Rs. 0""}, {""signal"": ""clear_indian_physical_address"", ""weight"": 4, ""source_url"": ""https://garudarabbit.com"", ""value"": ""Tamil Nadu 638311""}, {""signal"": ""india_shipping"", ""weight"": 1, ""source_url"": ""https://garudarabbit.com/policies/shipping-policy"", ""value"": ""shipped from our warehouses located in the India""}]",PASS,PASS,MISSING,PASS,UNCERTAIN,MISSING,MEDIUM,"shopify: current score 12, signals myshopify_reference,powered_by_shopify,shopify_analytics,shopify_cdn,shopify_section,shopify_theme; stored myshopify_reference,powered_by_shopify,shopify_analytics,shopify_cdn,shopify_section,shopify_theme | india: current score 9; strong evidence clear_indian_physical_address,india_pincode,contextual_business_state:Tamil Nadu; all signals clear_indian_physical_address,india_pincode,india_shipping,india_state_or_city,inr_pricing | logo: no stored logo URL | state: stored state matches current contextual business-location evidence: Tamil Nadu | contacts: no stored contacts to confirm | socials: no stored social profile URLs",,,,,,,all_medium_confidence;unusual_contact_or_social
https://hasora.in,ACCEPTED,12,12,Food & Beverage,Happy Organic Food Brand,Delhi,https://hasora.in/cdn/shop/files/hasoralogo_5595108c-150a-48c3-b64f-4287974c4fbc.png?v=1617281422&width=500,[],[],"{""instagram"": ""https://instagram.com/hasoraindia"", ""facebook"": ""https://facebook.com/hasora.in"", ""twitter"": null, ""linkedin"": null, ""youtube"": null}","[{""signal"": ""shopify_theme"", ""weight"": 3, ""source_url"": ""https://hasora.in"", ""value"": ""Shopify.theme""}, {""signal"": ""shopify_cdn"", ""weight"": 3, ""source_url"": ""https://hasora.in"", ""value"": ""cdn.shopify.com""}, {""signal"": ""shopify_analytics"", ""weight"": 2, ""source_url"": ""https://hasora.in"", ""value"": ""ShopifyAnalytics""}, {""signal"": ""myshopify_reference"", ""weight"": 2, ""source_url"": ""https://hasora.in"", ""value"": ""hasora-in.myshopify.com""}, {""signal"": ""shopify_section"", ""weight"": 1, ""source_url"": ""https://hasora.in"", ""value"": ""shopify-section""}, {""signal"": ""powered_by_shopify"", ""weight"": 1, ""source_url"": ""https://hasora.in"", ""value"": ""Powered by Shopify""}]","[{""signal"": ""explicit_india_address"", ""weight"": 3, ""source_url"": ""https://hasora.in"", ""value"": ""India""}, {""signal"": ""india_state_or_city"", ""weight"": 1, ""source_url"": ""https://hasora.in"", ""value"": ""Delhi""}, {""signal"": ""inr_pricing"", ""weight"": 1, ""source_url"": ""https://hasora.in"", ""value"": ""Rs. 0""}, {""signal"": ""dot_in_domain"", ""weight"": 1, ""source_url"": ""https://hasora.in"", ""value"": ""hasora.in""}, {""signal"": ""india_pincode"", ""weight"": 2, ""source_url"": ""https://hasora.in/policies/privacy-policy"", ""value"": ""122003""}, {""signal"": ""clear_indian_physical_address"", ""weight"": 4, ""source_url"": ""https://hasora.in/policies/privacy-policy"", ""value"": ""Delhi 122003""}]",PASS,PASS,PASS,PASS,UNCERTAIN,PASS,MEDIUM,"shopify: current score 12, signals myshopify_reference,powered_by_shopify,shopify_analytics,shopify_cdn,shopify_section,shopify_theme; stored myshopify_reference,powered_by_shopify,shopify_analytics,shopify_cdn,shopify_section,shopify_theme | india: current score 12; strong evidence clear_indian_physical_address,explicit_india_address,india_pincode,contextual_business_state:Delhi; all signals clear_indian_physical_address,dot_in_domain,explicit_india_address,india_pincode,india_state_or_city,inr_pricing | logo: stored logo matches the current semantic logo candidate | state: stored state matches current contextual business-location evidence: Delhi | contacts: no stored contacts to confirm | socials: confirmed 2 merchant-page social profile link(s)",,,,,,,all_medium_confidence
https://iriefoods.in,ACCEPTED,12,12,Food & Beverage,"Shop healthy snacks online in India. Discover high-protein, roasted & millet-based snacks—tasty, guilt-free and perfect for everyday munching.",Madhya Pradesh,https://www.iriefoods.in/cdn/shop/files/LOGO_R.png?v=1678418857&width=500,[],[],"{""instagram"": ""https://instagram.com/iriefoods1"", ""facebook"": ""https://facebook.com/profile.php"", ""twitter"": null, ""linkedin"": null, ""youtube"": null}","[{""signal"": ""shopify_theme"", ""weight"": 3, ""source_url"": ""https://www.iriefoods.in/"", ""value"": ""Shopify.theme""}, {""signal"": ""shopify_cdn"", ""weight"": 3, ""source_url"": ""https://www.iriefoods.in/"", ""value"": ""cdn.shopify.com""}, {""signal"": ""shopify_analytics"", ""weight"": 2, ""source_url"": ""https://www.iriefoods.in/"", ""value"": ""ShopifyAnalytics""}, {""signal"": ""myshopify_reference"", ""weight"": 2, ""source_url"": ""https://www.iriefoods.in/"", ""value"": ""iriefoods1.myshopify.com""}, {""signal"": ""shopify_section"", ""weight"": 1, ""source_url"": ""https://www.iriefoods.in/"", ""value"": ""shopify-section""}, {""signal"": ""powered_by_shopify"", ""weight"": 1, ""source_url"": ""https://www.iriefoods.in/"", ""value"": ""Powered by Shopify""}]","[{""signal"": ""explicit_india_address"", ""weight"": 3, ""source_url"": ""https://www.iriefoods.in/"", ""value"": ""Bharat""}, {""signal"": ""india_pincode"", ""weight"": 2, ""source_url"": ""https://www.iriefoods.in/"", ""value"": ""452016""}, {""signal"": ""india_state_or_city"", ""weight"": 1, ""source_url"": ""https://www.iriefoods.in/"", ""value"": ""Indore""}, {""signal"": ""inr_pricing"", ""weight"": 1, ""source_url"": ""https://www.iriefoods.in/"", ""value"": ""RS 9""}, {""signal"": ""dot_in_domain"", ""weight"": 1, ""source_url"": ""https://www.iriefoods.in/"", ""value"": ""www.iriefoods.in""}, {""signal"": ""clear_indian_physical_address"", ""weight"": 4, ""source_url"": ""https://www.iriefoods.in/"", ""value"": ""Indore 452016""}]",PASS,PASS,PASS,PASS,UNCERTAIN,PASS,MEDIUM,"shopify: current score 12, signals myshopify_reference,powered_by_shopify,shopify_analytics,shopify_cdn,shopify_section,shopify_theme; stored myshopify_reference,powered_by_shopify,shopify_analytics,shopify_cdn,shopify_section,shopify_theme | india: current score 12; strong evidence clear_indian_physical_address,explicit_india_address,india_pincode,contextual_business_state:Madhya Pradesh; all signals clear_indian_physical_address,dot_in_domain,explicit_india_address,india_pincode,india_state_or_city,inr_pricing | logo: stored logo matches the current semantic logo candidate | state: stored state matches current contextual business-location evidence: Madhya Pradesh | contacts: no stored contacts to confirm | socials: confirmed 2 merchant-page social profile link(s)",,,,,,,all_medium_confidence
https://kidsclap.in,ACCEPTED,11,4,Kids & Baby,"Shop engaging learning toys, books, and games for kids online at KidsClap. Discover fun, educational products to boost your child’s creativity and growth.",,https://kidsclap.in/cdn/shop/files/New_Logo_Kids_Clap_8957a284-9532-452c-a8b4-935b07c3b5be.png?v=1786097546&width=500,"[""contact@kidsclap.in""]",[],"{""instagram"": ""https://instagram.com/kidsclap.in/https://www.facebook.com/people/Kids-Clap/61557176310755"", ""facebook"": ""https://facebook.com/people/Kids-Clap/61557176310755"", ""twitter"": null, ""linkedin"": null, ""youtube"": ""https://youtube.com/@kidsClap""}","[{""signal"": ""shopify_theme"", ""weight"": 3, ""source_url"": ""https://kidsclap.in"", ""value"": ""Shopify.theme""}, {""signal"": ""shopify_cdn"", ""weight"": 3, ""source_url"": ""https://kidsclap.in"", ""value"": ""cdn.shopify.com""}, {""signal"": ""shopify_analytics"", ""weight"": 2, ""source_url"": ""https://kidsclap.in"", ""value"": ""ShopifyAnalytics""}, {""signal"": ""myshopify_reference"", ""weight"": 2, ""source_url"": ""https://kidsclap.in"", ""value"": ""pdg10w-7c.myshopify.com""}, {""signal"": ""shopify_section"", ""weight"": 1, ""source_url"": ""https://kidsclap.in"", ""value"": ""shopify-section""}]","[{""signal"": ""india_state_or_city"", ""weight"": 1, ""source_url"": ""https://kidsclap.in"", ""value"": ""Delhi""}, {""signal"": ""inr_pricing"", ""weight"": 1, ""source_url"": ""https://kidsclap.in"", ""value"": ""₹ 5""}, {""signal"": ""dot_in_domain"", ""weight"": 1, ""source_url"": ""https://kidsclap.in"", ""value"": ""kidsclap.in""}, {""signal"": ""india_shipping"", ""weight"": 1, ""source_url"": ""https://kidsclap.in/pages/about-us"", ""value"": ""shipping across India""}]",PASS,UNCERTAIN,PASS,MISSING,PASS,PASS,MEDIUM,"shopify: current score 11, signals myshopify_reference,shopify_analytics,shopify_cdn,shopify_section,shopify_theme; stored myshopify_reference,shopify_analytics,shopify_cdn,shopify_section,shopify_theme | india: only weak/insufficient current India evidence; current score 4; strong evidence none; all signals dot_in_domain,india_shipping,india_state_or_city,inr_pricing | logo: stored logo matches the current semantic logo candidate | state: no stored state and no current contextual business state | contacts: confirmed 1 email(s) and 0 phone(s) on merchant pages | socials: confirmed 3 merchant-page social profile link(s)",,,,,,,all_medium_confidence
